,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
1858,WAS,62,62,98,82,47,39,36,35,MIA,49,76,72,67,24,28,42,60,False
1859,BOS,88,36,94,97,53,66,23,45,TBA,62,61,75,78,42,33,36,40,False
1860,CHA,45,77,72,82,36,48,44,52,KCA,38,85,78,81,32,40,46,53,True
1861,CLE,70,52,69,105,40,51,24,23,BAL,37,86,111,86,65,45,64,51,True
1862,MIN,58,64,94,69,58,23,41,48,DET,51,73,79,72,39,30,38,54,True
1863,NYA,77,46,84,69,54,40,45,42,TOR,55,68,89,91,37,45,61,46,True
1864,OAK,74,49,77,103,33,62,20,39,HOU,74,49,67,77,35,39,51,22,False
1865,SEA,71,53,65,103,27,43,47,44,LAN,66,58,76,77,39,43,40,31,False
1866,TEX,55,70,96,93,61,53,55,47,ANA,63,62,100,90,64,48,49,42,True
1867,LAN,67,58,76,88,39,50,40,31,SLN,68,57,80,107,43,53,30,29,False
1868,MIL,69,57,87,90,48,35,46,62,CIN,55,69,99,81,39,33,38,48,True
1869,NYN,54,69,75,113,39,69,30,39,SFN,61,64,76,83,38,30,46,42,False
1870,PIT,63,62,75,86,24,46,30,39,ATL,68,55,93,87,52,43,41,34,False
1871,BOS,88,37,82,97,43,66,21,45,CLE,71,52,71,105,44,51,24,23,False
1872,MIN,59,64,95,69,61,23,39,48,CHA,46,77,73,82,38,48,44,52,False
1873,OAK,74,50,78,103,36,62,29,39,TEX,56,70,99,93,62,53,56,47,True
1874,SEA,71,54,66,103,25,43,56,44,HOU,75,49,67,86,35,48,51,24,True
1875,TBA,63,61,75,73,42,33,36,29,KCA,38,86,78,78,32,42,46,55,True
1876,TOR,55,69,89,89,37,41,61,53,BAL,37,87,111,80,65,38,64,54,True
1877,ARI,69,56,97,90,44,49,31,37,ANA,63,63,100,93,64,47,49,42,True
1878,COL,68,56,82,86,33,43,34,45,SDN,49,78,70,97,32,53,47,45,False
1879,LAN,67,59,78,88,40,50,40,31,SLN,69,57,80,107,43,55,30,25,False
1880,MIA,50,76,72,79,24,38,42,56,NYA,78,46,87,69,57,40,44,42,False
1881,MIL,70,57,93,90,51,35,43,62,CIN,55,70,99,76,39,31,38,47,False
1882,NYN,54,70,76,113,38,69,29,39,SFN,62,64,76,80,38,24,46,42,True
1883,PIT,63,63,76,86,24,46,30,39,ATL,69,55,93,81,52,32,41,33,False
1884,WAS,62,63,90,82,38,39,44,35,PHI,68,56,87,70,42,19,43,33,True
1885,BOS,88,38,85,97,44,66,26,45,CLE,72,52,71,96,44,48,24,26,False
1886,CHA,47,77,73,87,38,50,44,54,MIN,59,65,97,69,66,23,45,48,False
1887,DET,51,74,79,69,39,27,38,55,CHN,71,52,82,82,40,27,53,23,True
1888,OAK,75,50,86,103,43,62,29,39,TEX,56,71,99,87,62,48,56,51,True
1889,SEA,72,54,76,103,30,43,60,44,HOU,75,50,67,76,35,46,51,28,False
1890,TBA,64,61,76,73,40,33,34,29,KCA,38,87,78,78,32,39,46,50,True
1891,TOR,56,69,86,89,37,41,60,53,BAL,37,88,111,74,65,33,64,43,True
1892,ARI,70,56,98,90,42,49,34,37,ANA,63,64,100,93,64,44,49,42,True
1893,COL,68,57,79,86,33,43,37,45,SDN,50,78,70,103,32,55,47,46,True
1894,LAN,67,60,85,88,42,50,44,31,SLN,70,57,80,99,43,54,30,20,False
1895,MIA,50,77,69,79,22,38,34,56,NYA,79,46,87,69,57,37,44,37,True
1896,MIL,70,58,99,90,52,35,46,62,CIN,56,70,99,85,39,36,38,52,True
1897,NYN,55,70,76,113,38,69,29,39,SFN,62,65,76,76,38,24,46,42,True
1898,PIT,63,64,73,86,20,46,32,39,ATL,70,55,93,83,52,34,41,27,False
1899,WAS,63,63,97,82,47,39,41,35,PHI,68,57,87,74,42,21,43,37,True
1900,BOS,88,39,83,97,45,66,31,45,CLE,73,52,71,100,44,50,24,24,True
1901,CHA,47,78,70,87,34,50,44,54,MIN,60,65,97,73,66,24,45,46,True
1902,DET,52,74,84,69,39,27,38,55,CHN,71,53,82,80,40,24,53,23,False
1903,OAK,76,50,90,103,43,62,29,39,TEX,56,72,99,74,62,37,56,55,False
1904,SEA,72,55,78,103,29,43,58,44,HOU,76,50,67,71,35,41,51,26,False
1905,TBA,65,61,76,73,34,33,29,29,KCA,38,88,78,80,32,36,46,52,True
1906,TOR,57,69,87,89,42,41,54,53,BAL,37,89,111,71,65,32,64,42,True
1907,CHN,72,53,82,82,40,28,53,19,CIN,56,71,99,79,39,32,38,50,True
1908,COL,69,57,79,86,34,43,38,45,SDN,50,79,70,102,32,54,47,45,True
1909,MIA,51,77,80,79,30,38,28,56,ATL,71,55,93,80,52,32,41,26,False
1910,NYN,56,70,80,113,37,69,28,39,SFN,62,66,76,71,38,24,46,36,False
1911,WAS,64,63,101,82,48,39,46,35,PHI,68,58,87,77,42,28,43,40,False
1912,BOS,89,39,91,97,54,66,32,45,CLE,73,53,71,97,44,49,24,31,True
1913,DET,52,75,87,69,40,27,38,55,CHA,48,78,75,87,40,50,40,54,True
1914,MIN,60,66,97,73,66,23,45,40,OAK,76,51,90,103,43,62,29,39,True
1915,TBA,66,61,81,73,34,33,30,29,KCA,38,89,78,77,32,31,46,51,True
1916,ARI,71,56,99,90,42,49,26,37,SEA,72,56,78,103,33,43,60,44,False
1917,CHN,73,53,85,82,41,28,48,19,CIN,56,72,99,80,39,29,38,46,True
1918,COL,70,57,78,86,35,43,38,45,SLN,71,57,80,92,43,49,30,17,False
1919,LAN,67,61,77,88,37,50,44,31,SDN,50,80,70,104,32,54,47,43,True
1920,MIA,51,78,77,79,28,38,32,56,ATL,72,55,93,86,52,35,41,25,True
1921,MIL,71,58,101,90,51,35,45,62,PIT,63,65,69,86,19,46,27,39,True
1922,NYN,56,71,79,113,36,69,26,39,WAS,64,64,98,82,46,39,47,35,True
1923,SFN,63,66,76,68,38,23,46,35,TEX,57,72,99,69,62,34,56,54,False
1924,ANA,63,65,100,95,64,45,49,45,HOU,77,50,67,84,35,49,51,32,False
1925,BAL,37,90,111,68,65,31,64,46,NYA,79,47,87,68,57,36,44,45,False
1926,DET,53,75,94,69,45,27,39,55,CHA,48,79,75,87,40,48,40,59,False
1927,KCA,38,90,78,77,32,30,46,48,CLE,73,54,71,94,44,48,24,38,True
1928,MIN,61,66,95,73,66,23,45,40,OAK,76,52,90,94,43,50,29,42,False
1929,TBA,67,61,86,73,33,33,31,29,BOS,90,39,84,97,46,66,26,45,True
1930,TOR,58,69,88,89,47,41,51,53,PHI,69,58,87,70,42,29,43,38,True
1931,ARI,71,57,96,90,38,49,32,37,SEA,73,56,78,98,33,45,60,42,False
1932,CHN,74,53,89,82,43,28,44,19,CIN,56,73,99,72,39,24,38,48,True
1933,COL,70,58,88,86,38,43,45,45,SLN,72,57,80,93,43,53,30,20,True
1934,LAN,68,61,72,88,27,50,40,31,SDN,50,81,70,93,32,49,47,52,True
1935,MIA,52,78,71,79,25,38,32,56,ATL,72,56,93,84,52,35,41,23,True
1936,MIL,72,58,107,90,55,35,43,62,PIT,63,66,69,100,19,51,27,42,False
1937,NYN,57,71,85,113,38,69,24,39,WAS,64,65,98,70,46,31,47,38,True
1938,SFN,63,67,77,68,40,23,44,35,TEX,58,72,99,73,62,38,56,57,True
1939,ANA,63,66,91,95,56,45,50,45,HOU,78,50,67,83,35,44,51,35,False
1940,BAL,37,91,112,68,67,31,68,46,NYA,80,47,87,71,57,41,44,45,False
1941,BAL,37,92,105,68,57,31,74,46,NYA,81,47,87,74,57,44,44,33,False
1942,DET,53,76,88,69,41,27,41,55,CHA,49,79,75,89,40,51,40,50,False
1943,KCA,39,90,76,77,36,30,47,48,CLE,73,55,71,99,44,52,24,42,True
1944,MIN,61,67,89,73,59,23,49,40,OAK,77,52,90,93,43,44,29,37,False
1945,TBA,68,61,91,73,40,33,31,29,BOS,90,40,84,101,46,63,26,43,True
1946,TOR,59,69,78,89,45,41,41,53,PHI,69,59,87,70,42,28,43,41,True
1947,ARI,71,58,96,90,40,49,29,37,SEA,74,56,78,101,33,45,60,38,True
1948,CHN,75,53,91,82,48,28,47,19,CIN,56,74,99,78,39,28,38,49,True
1949,COL,71,58,91,86,45,43,36,45,SLN,72,58,80,91,43,52,30,27,False
1950,LAN,69,61,79,88,31,50,42,31,SDN,50,82,70,96,32,50,47,52,True
1951,MIA,53,78,69,79,26,38,32,56,ATL,72,57,93,81,52,31,41,22,False
1952,MIL,72,59,109,90,51,35,49,62,PIT,64,66,69,112,19,59,27,42,True
1953,NYN,58,71,84,113,38,69,24,39,WAS,64,66,98,72,46,30,47,39,False
1954,SFN,64,67,79,68,44,23,42,35,TEX,58,73,99,67,62,32,56,60,True
1955,ANA,63,67,90,95,55,45,53,45,HOU,79,50,67,90,35,48,51,35,False
1956,BAL,37,93,97,68,47,31,76,46,NYA,82,47,87,85,57,47,44,30,False
1957,DET,53,77,88,69,37,27,46,55,CHA,50,79,75,91,40,49,40,39,False
1958,KCA,40,90,84,77,43,30,43,48,CLE,73,56,71,95,44,49,24,48,False
1959,MIN,61,68,86,73,55,23,50,40,OAK,78,52,90,93,43,44,29,34,False
1960,TBA,69,61,97,73,43,33,31,29,BOS,90,41,84,97,46,53,26,42,True
1961,TOR,60,69,74,89,46,41,38,53,PHI,69,60,87,76,42,32,43,46,False
1962,CHN,76,53,93,82,51,28,43,19,NYN,58,72,78,113,34,69,34,39,True
1963,PHI,70,60,87,84,42,36,43,47,WAS,65,66,98,86,46,45,47,36,False
1964,SFN,65,67,79,68,45,23,37,35,ARI,72,58,92,90,39,49,26,37,True
1965,ANA,63,68,81,95,45,45,51,45,COL,71,59,89,86,44,43,41,45,True
1966,BAL,37,94,89,68,39,31,76,46,TOR,60,70,72,89,44,41,36,53,True
1967,HOU,80,50,67,93,35,48,51,35,OAK,79,52,90,96,43,44,29,31,True
1968,NYA,83,47,87,88,57,50,44,28,CHA,51,79,75,97,40,53,40,39,False
1969,ATL,73,57,93,83,52,30,41,14,TBA,70,61,98,73,46,33,24,29,True
1970,CHN,77,53,95,82,52,28,37,19,NYN,58,73,78,115,34,70,34,42,True
1971,CIN,56,75,99,74,39,27,38,53,MIL,73,59,107,90,50,35,49,62,True
1972,PHI,70,61,84,84,41,36,45,47,WAS,66,66,98,86,46,47,47,36,False
1973,SDN,50,83,70,106,32,49,47,54,SEA,74,57,78,99,33,39,60,32,True
1974,SFN,66,67,70,68,39,23,32,35,ARI,72,59,92,86,39,44,26,35,True
1975,SLN,73,58,80,100,43,61,30,27,PIT,64,67,69,110,19,53,27,47,True
1976,ANA,64,68,81,95,48,45,50,45,COL,71,60,89,90,44,48,41,50,False
1977,BAL,38,94,83,68,35,31,58,46,TOR,60,71,72,85,44,34,36,59,True
1978,BOS,90,42,84,88,46,45,26,45,MIA,53,79,65,79,24,38,30,56,True
1979,CLE,74,56,71,94,44,51,24,47,MIN,61,69,83,73,52,23,54,40,True
1980,HOU,81,50,79,93,45,48,50,35,OAK,79,53,90,93,43,47,29,39,False
1981,KCA,40,91,84,77,40,30,55,48,DET,53,78,91,69,36,27,49,55,True
1982,NYA,83,48,80,88,52,50,38,28,CHA,52,79,75,103,40,57,40,41,True
1983,TEX,58,74,99,68,62,33,56,57,LAN,70,61,87,88,38,50,30,31,False
1984,ATL,74,57,98,83,57,30,43,14,TBA,70,62,98,77,46,33,24,25,False
1985,CHN,78,53,101,82,51,28,36,19,NYN,58,74,78,118,34,67,34,41,False
1986,CIN,57,75,103,74,43,27,45,53,MIL,73,60,107,91,50,40,49,65,False
1987,PHI,70,62,80,84,37,36,45,47,WAS,67,66,98,79,46,41,47,36,True
1988,SDN,51,83,68,106,32,49,48,54,SEA,74,58,78,93,33,32,60,28,True
1989,SFN,67,67,73,68,39,23,29,35,ARI,72,60,92,87,39,44,26,34,False
1990,SLN,74,58,86,100,46,61,26,27,PIT,64,68,69,105,19,50,27,49,False
1991,BAL,39,94,95,68,47,31,58,46,TOR,60,72,72,85,44,34,36,70,True
1992,BOS,91,42,89,88,48,45,32,45,MIA,53,80,65,86,24,44,30,61,True
1993,CLE,75,56,77,94,48,51,18,47,MIN,61,70,83,76,52,24,54,44,False
1994,HOU,81,51,79,93,46,48,43,35,OAK,80,53,90,92,43,50,29,37,True
1995,KCA,41,91,87,77,45,30,50,48,DET,53,79,91,69,36,29,49,60,True
1996,NYA,84,48,80,88,52,50,39,28,CHA,52,80,75,102,40,53,40,41,False
1997,TEX,58,75,101,68,60,33,54,57,LAN,71,61,87,101,38,56,30,31,False
1998,ATL,74,58,100,83,54,30,42,14,CHN,78,54,96,82,50,28,37,19,False
1999,CIN,57,76,108,74,52,27,57,53,MIL,74,60,107,104,50,49,49,57,False
2000,LAN,72,61,87,96,38,55,30,30,ARI,73,60,92,85,39,44,26,29,False
2001,SDN,52,83,74,106,39,49,46,54,COL,72,60,89,89,44,48,41,47,True
2002,SLN,74,59,78,100,40,61,25,27,PIT,65,68,69,101,19,42,27,47,True
2003,CHA,53,80,75,97,40,52,40,33,BOS,92,42,99,88,57,45,37,45,False
2004,CLE,75,57,81,94,49,51,22,47,MIN,62,70,83,82,52,28,54,39,True
2005,HOU,82,51,82,93,48,48,40,35,ANA,64,69,79,95,44,45,51,45,False
2006,NYA,84,49,74,88,46,50,41,28,DET,53,80,91,65,36,30,49,67,False
2007,OAK,80,54,90,96,43,52,29,38,SEA,74,59,78,95,33,30,60,34,False
2008,ATL,74,59,98,83,50,30,45,14,PIT,65,69,69,90,19,32,27,39,False
2009,LAN,72,62,88,96,36,55,31,30,ARI,74,60,92,85,39,38,26,29,True
2010,MIA,53,81,65,91,24,47,30,67,TOR,60,73,72,89,44,36,36,72,False
2011,PHI,71,62,83,84,40,36,47,47,CHN,79,54,96,73,50,24,37,22,True
2012,SDN,53,83,71,106,36,49,44,54,COL,72,61,89,86,44,45,41,42,True
2013,SFN,67,68,72,68,39,23,30,35,NYN,59,74,78,119,34,70,34,40,True
2014,SLN,75,59,77,100,42,61,24,27,CIN,57,77,105,74,47,27,56,53,True
2015,WAS,67,67,98,86,46,44,47,40,MIL,75,60,107,104,50,50,49,48,False
2016,CHA,53,81,79,97,41,52,45,33,BOS,93,42,99,87,57,49,37,41,True
2017,CLE,76,57,80,94,50,51,20,47,TBA,71,62,98,80,46,33,24,30,True
2018,HOU,82,52,82,93,47,48,41,35,ANA,65,69,79,94,44,46,51,43,False
2019,KCA,42,91,94,77,52,30,44,48,BAL,40,94,101,68,50,31,57,46,True
2020,NYA,84,50,79,88,48,50,41,28,DET,54,80,91,73,36,38,49,67,True
2021,OAK,80,55,86,96,42,52,31,38,SEA,75,59,78,94,33,32,60,33,True
2022,TEX,58,76,100,68,58,33,53,57,MIN,62,71,83,76,52,28,54,42,False
