,ht,ht_wins,ht_losses,ht_l10_hits_h,ht_l10_hits_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_ers_h,ht_l10_ers_a,at,at_wins,at_losses,at_l10_hits_h,at_l10_hits_a,at_l10_rbis_h,at_l10_rbis_a,at_l10_ers_h,at_l10_ers_a,home_team_won
2083,ATL,76,62,81,83,33,30,38,14,BOS,96,44,99,77,57,36,37,45,False
2084,COL,76,62,91,86,50,45,39,38,SFN,68,72,59,72,30,27,18,46,True
2085,LAN,76,63,82,96,45,55,26,30,NYN,62,76,78,92,34,40,34,35,False
2086,MIA,55,84,74,91,32,47,35,67,PHI,73,65,80,85,32,46,42,46,True
2087,MIL,79,61,108,93,54,49,39,48,CHN,81,57,96,79,50,33,37,30,False
2088,PIT,68,71,70,90,20,30,19,40,CIN,59,80,105,77,47,27,56,47,True
2089,WAS,69,70,88,86,43,44,60,40,SLN,77,62,70,94,42,60,27,34,False
2090,CHA,56,83,89,97,41,52,39,33,DET,56,83,91,90,36,48,49,49,False
2091,CLE,78,60,77,94,45,51,28,47,KCA,46,92,108,77,62,32,36,43,True
2092,HOU,86,53,83,93,50,48,27,35,MIN,63,75,83,79,52,34,54,53,True
2093,OAK,83,57,82,96,49,52,38,38,NYA,87,52,78,84,58,49,49,30,True
2094,SEA,77,62,74,93,32,34,55,41,BAL,41,98,101,72,50,21,57,55,True
2095,TEX,61,78,94,68,54,33,50,57,ANA,67,72,79,77,44,34,51,34,False
