,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
268,331,210,70,52,14,13,1,1,10,6,38,19,0,2,2,0,6,4,32,13,1,1,100,67,5,2,1,1,7,3,0,0,63,43,46,25,44,15,1,1,0,0,105,59,9,5,0,0,7,8,0,0,ARI,13,5,SDN,7,13,False
269,317,238,78,51,14,14,4,0,9,10,41,35,2,1,3,3,7,2,39,29,4,5,83,72,2,2,4,2,6,6,0,0,72,38,47,34,36,27,3,0,0,0,78,73,5,6,0,0,7,4,0,0,ATL,11,7,NYN,13,5,False
270,242,337,67,75,14,18,2,5,9,8,41,35,2,3,1,1,10,9,25,41,2,7,55,93,1,3,0,2,3,6,0,1,56,83,34,43,40,25,5,4,1,0,70,100,8,6,0,3,3,8,0,0,COL,11,9,CHN,8,8,False
271,333,309,73,78,19,10,1,1,7,16,26,54,4,1,1,5,3,6,44,46,4,4,90,76,11,12,3,2,9,4,0,0,75,70,43,40,36,45,3,2,1,0,80,68,4,6,1,1,5,7,0,0,LAN,8,9,WAS,9,10,False
272,349,192,86,36,11,5,1,0,7,4,32,18,3,0,2,1,6,3,27,16,3,1,83,62,4,0,1,0,8,8,0,1,72,31,46,27,44,53,1,4,0,1,101,45,5,2,1,2,10,4,0,0,MIL,11,9,MIA,5,13,True
273,293,351,78,87,20,15,4,2,6,14,46,48,2,1,4,4,1,4,36,29,2,4,52,85,4,5,1,6,3,5,0,1,60,57,34,42,33,51,11,6,1,0,80,100,1,5,0,0,11,9,0,0,PHI,11,7,PIT,12,7,True
274,263,338,57,75,10,15,1,0,8,3,21,30,2,5,1,1,4,4,27,34,0,3,81,85,2,7,0,1,6,9,0,0,61,72,36,43,48,47,0,4,0,1,81,103,4,7,0,0,6,6,0,0,SLN,10,8,CIN,3,15,True
275,249,329,65,68,8,10,0,2,9,6,29,17,2,3,4,1,0,3,20,26,4,1,69,88,7,3,1,3,6,7,0,0,45,70,36,36,26,37,0,0,0,0,71,87,1,8,1,0,9,8,0,0,ANA,13,6,SFN,7,11,False
276,255,302,59,57,12,8,0,0,6,13,27,27,1,0,0,0,2,4,22,28,2,3,54,79,7,7,2,0,4,6,0,1,53,58,27,36,16,30,0,3,0,0,85,67,5,3,1,1,6,5,0,0,BAL,5,14,CLE,9,7,True
277,291,348,63,95,8,24,1,1,9,7,33,48,1,0,4,5,4,5,29,42,0,0,83,91,6,4,1,1,3,9,0,0,59,80,37,35,20,28,4,3,0,0,80,88,6,2,1,1,5,6,0,0,CHA,4,11,HOU,13,7,False
