,ht_l10_abs_h,ht_l10_abs_a,ht_l10_hits_h,ht_l10_hits_a,ht_l10_doubles_h,ht_l10_doubles_a,ht_l10_triples_h,ht_l10_triples_a,ht_l10_hrs_h,ht_l10_hrs_a,ht_l10_rbis_h,ht_l10_rbis_a,ht_l10_sac_hits_h,ht_l10_sac_hits_a,ht_l10_sac_flies_h,ht_l10_sac_flies_a,ht_l10_hbp_h,ht_l10_hbp_a,ht_l10_bb_h,ht_l10_bb_a,ht_l10_bbi_h,ht_l10_bbi_a,ht_l10_ko_h,ht_l10_ko_a,ht_l10_sb_h,ht_l10_sb_a,ht_l10_cs_h,ht_l10_cs_a,ht_l10_hit_into_dp_h,ht_l10_hit_into_dp_a,ht_l10_catcher_i_h,ht_l10_catcher_i_a,ht_l10_lob_h,ht_l10_lob_a,ht_l10_pitchers_h,ht_l10_pitchers_a,ht_l10_ers_h,ht_l10_ers_a,ht_l10_wp_h,ht_l10_wp_a,ht_l10_balks_h,ht_l10_balks_a,ht_l10_assists_h,ht_l10_assists_a,ht_l10_errors_h,ht_l10_errors_a,ht_l10_passed_balls_h,ht_l10_passed_balls_a,ht_l10_dp_h,ht_l10_dp_a,ht_l10_tp_h,ht_l10_tp_a,ht,ht_wins,ht_losses,at,at_wins,at_losses,home_team_won
1042,322,334,86,70,19,11,3,1,8,10,41,25,1,1,3,0,9,7,33,22,0,0,66,101,3,4,3,4,9,9,0,0,70,57,37,37,27,39,6,4,0,0,98,100,6,10,0,1,9,5,0,0,NYA,45,21,TBA,32,37,True
1043,313,346,71,85,14,15,1,2,13,17,35,40,0,0,4,3,4,4,32,32,1,4,72,80,5,2,1,1,5,7,0,0,61,72,43,43,28,43,11,2,0,0,95,74,5,4,1,1,9,11,0,0,OAK,34,36,ANA,38,32,True
1044,329,347,86,82,22,12,2,1,13,13,41,41,0,0,1,3,5,4,29,38,1,3,73,92,7,12,1,2,11,8,0,0,68,70,35,37,31,34,1,3,0,0,98,91,6,6,2,2,5,8,0,0,SEA,45,25,BOS,48,23,True
1045,361,351,109,85,21,17,3,2,14,10,60,47,4,3,4,3,5,3,22,28,2,2,76,95,4,4,5,2,6,8,0,0,69,58,47,40,73,46,11,5,1,0,106,107,4,3,0,2,12,9,0,0,TEX,27,44,COL,34,35,True
1046,327,343,79,73,15,10,2,1,10,9,43,28,2,2,0,2,4,3,28,23,2,2,78,85,4,13,1,2,5,5,0,0,59,58,44,40,38,28,2,1,0,0,87,99,0,4,2,1,6,11,0,0,TOR,31,38,WAS,38,29,True
1047,325,335,49,77,8,20,1,1,8,12,14,40,0,0,1,0,3,6,33,30,2,2,95,80,4,6,2,3,4,9,0,0,66,60,38,37,33,48,2,0,0,0,92,82,8,5,1,1,11,6,0,0,ARI,39,31,NYN,29,38,False
1048,320,330,84,79,13,19,3,1,11,6,50,29,4,5,3,2,0,2,37,17,3,2,75,88,3,3,3,2,8,5,0,0,61,56,40,33,47,29,2,3,0,0,112,89,3,5,1,0,9,6,0,0,ATL,41,29,SDN,34,39,True
1049,346,356,99,84,19,18,5,2,14,8,49,40,3,5,3,5,4,6,25,33,1,4,93,85,1,3,3,2,9,6,0,0,67,72,47,44,29,37,5,2,0,0,100,101,6,4,1,2,10,10,0,0,LAN,37,32,SFN,34,37,False
1050,316,329,69,67,15,8,2,1,11,8,38,25,3,1,4,1,3,4,31,38,0,2,87,109,3,1,0,0,3,6,0,0,61,78,42,37,50,43,5,8,0,0,94,91,5,12,3,0,7,8,0,0,MIL,42,28,PHI,36,32,False
1051,363,354,97,94,19,11,1,2,8,12,48,39,1,5,3,1,7,4,46,30,3,3,101,69,1,3,3,1,7,13,0,0,88,79,46,37,48,43,2,2,0,0,109,109,5,7,0,0,11,9,0,0,PIT,35,35,CIN,25,45,False
1052,306,373,70,101,16,17,2,0,6,9,36,47,2,3,4,6,3,2,35,47,3,7,76,103,5,11,3,2,9,5,2,0,62,92,42,45,32,22,3,0,0,1,95,112,5,7,0,0,7,10,0,0,SLN,36,32,CHN,40,27,True
1053,346,348,79,84,18,19,1,4,6,10,33,32,3,0,4,2,4,4,34,27,3,1,83,89,3,2,1,0,8,9,0,0,75,76,46,40,40,44,4,4,1,0,103,98,3,5,1,0,12,9,0,0,BAL,19,50,MIA,28,43,True
1054,341,339,76,73,20,13,3,2,6,8,35,29,0,0,4,2,5,2,25,23,2,0,97,88,9,4,0,1,1,8,0,0,71,61,39,40,45,40,3,4,0,0,96,98,4,5,0,0,5,9,0,0,CHA,24,45,DET,35,37,False
