,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
979,978.0,ARI,36,29,72,82,51,48,39,41,PIT,32,34,83,78,43,36,54,38,True
994,993.0,ARI,37,29,78,82,59,48,39,41,PIT,32,35,83,75,43,39,54,42,False
1009,1008.0,ARI,37,30,83,82,62,48,43,41,NYN,28,36,49,88,14,44,33,51,True
1018,1017.0,ARI,38,30,87,82,66,48,38,41,NYN,28,37,49,79,14,42,33,57,True
1033,1032.0,ARI,39,30,88,82,61,48,35,41,NYN,28,38,49,79,14,42,33,60,False
1048,1047.0,ARI,39,31,90,82,58,48,38,41,NYN,29,38,49,77,14,40,33,48,False
1068,1067.0,ANA,38,34,71,79,35,38,28,47,ARI,39,32,84,82,57,48,36,41,False
1081,1080.0,ANA,38,35,80,79,38,38,29,47,ARI,40,32,84,88,57,53,36,38,True
1104,1103.0,PIT,36,37,87,74,42,40,44,42,ARI,40,33,84,81,57,50,36,42,False
1115,1114.0,PIT,36,38,82,74,39,40,44,42,ARI,41,33,84,89,57,59,36,41,False
1131,1130.0,PIT,36,39,77,74,37,40,44,42,ARI,42,33,84,94,57,59,36,39,False
1146,1145.0,PIT,36,40,77,74,39,40,47,42,ARI,43,33,84,97,57,62,36,31,False
1158,1157.0,MIA,31,47,79,89,33,41,40,51,ARI,44,33,84,94,57,62,36,29,True
1170,1169.0,MIA,32,47,80,89,37,41,38,51,ARI,44,34,84,90,57,63,36,33,False
1185,1184.0,MIA,32,48,83,89,38,41,38,51,ARI,45,34,84,86,57,59,36,32,False
1199,1198.0,MIA,32,49,79,89,37,41,35,51,ARI,46,34,84,79,57,50,36,28,False
1207,1206.0,ARI,47,34,84,80,57,46,36,25,SFN,42,40,79,76,39,38,33,33,False
1222,1221.0,ARI,47,35,80,80,49,46,37,25,SFN,43,40,79,67,39,31,33,29,False
1237,1236.0,ARI,47,36,81,80,43,46,42,25,SFN,44,40,79,68,39,33,33,22,False
1252,1251.0,ARI,47,37,88,80,45,46,50,25,SLN,42,40,86,74,37,44,48,41,False
1262,1261.0,ARI,47,38,87,80,41,46,51,25,SLN,43,40,86,76,37,43,48,36,True
1277,1276.0,ARI,48,38,82,80,35,46,46,25,SLN,43,41,86,76,37,39,48,36,False
1292,1291.0,ARI,48,39,82,80,32,46,45,25,SDN,37,51,86,77,46,23,51,38,False
1300,1299.0,ARI,48,40,85,80,29,46,46,25,SDN,38,51,86,79,46,27,51,37,True
1315,1314.0,ARI,49,40,79,80,25,46,45,25,SDN,38,52,86,80,46,28,51,38,True
1330,1329.0,ARI,50,40,91,80,43,46,45,25,SDN,38,53,86,75,46,28,51,54,False
1359,1358.0,COL,46,44,97,92,56,48,47,38,ARI,50,41,95,80,43,46,44,25,False
1374,1373.0,COL,46,45,101,92,58,48,40,38,ARI,51,41,95,78,43,44,44,24,True
1388,1387.0,COL,47,45,104,92,66,48,36,38,ARI,51,42,95,79,43,42,44,38,True
1398,1397.0,ATL,51,40,96,90,45,46,46,50,ARI,51,43,95,76,43,34,44,41,False
1413,1412.0,ATL,51,41,97,90,45,46,48,50,ARI,52,43,95,75,43,35,44,42,False
1429,1428.0,ATL,51,42,95,90,41,46,50,50,ARI,53,43,95,72,43,32,44,40,True
1445,1444.0,ARI,53,44,95,71,43,30,44,45,COL,51,45,106,92,60,48,29,38,False
1460,1459.0,ARI,53,45,102,71,49,30,53,45,COL,52,45,106,89,60,47,29,34,False
1474,1473.0,ARI,53,46,103,71,54,30,51,45,COL,53,45,106,87,60,50,29,36,True
1489,1488.0,CHN,58,40,103,100,55,53,52,38,ARI,54,46,97,71,54,30,43,45,False
1502,1501.0,CHN,58,41,99,100,51,53,55,38,ARI,55,46,97,74,54,32,43,37,False
1517,1516.0,CHN,58,42,98,100,48,53,58,38,ARI,56,46,97,78,54,32,43,36,True
1531,1530.0,CHN,59,42,94,100,47,53,56,38,ARI,56,47,97,77,54,31,43,36,True
1546,1545.0,SDN,42,63,79,77,35,36,48,59,ARI,56,48,97,75,54,33,43,43,False
1560,1559.0,SDN,42,64,75,77,34,36,51,59,ARI,57,48,97,78,54,34,43,42,False
1576,1575.0,SDN,42,65,77,77,34,36,57,59,ARI,58,48,97,87,54,41,43,27,False
1586,1585.0,ARI,59,48,97,89,54,45,43,26,TEX,45,62,96,85,50,38,84,34,False
1595,1594.0,ARI,59,49,98,89,56,45,46,26,TEX,46,62,96,89,50,45,84,36,True
1621,1620.0,ARI,60,49,101,89,57,45,44,26,SFN,55,54,82,75,30,29,38,33,False
1633,1632.0,ARI,60,50,103,89,57,45,47,26,SFN,56,54,82,81,30,34,38,30,True
1647,1646.0,ARI,61,50,104,89,60,45,46,26,SFN,56,55,82,84,30,36,38,28,True
1663,1662.0,ARI,62,50,110,89,66,45,48,26,SFN,56,56,82,92,30,39,38,36,False
1678,1677.0,ARI,62,51,96,89,49,45,46,26,PHI,63,48,85,91,59,31,33,39,True
1688,1687.0,ARI,63,51,97,89,49,45,44,26,PHI,63,49,85,84,59,28,33,38,False
1704,1703.0,ARI,63,52,92,89,44,45,36,26,PHI,64,49,85,82,59,30,33,40,True
1729,1728.0,CIN,50,65,77,81,36,33,48,48,ARI,64,52,97,89,44,45,31,26,True
1744,1743.0,CIN,51,65,77,81,37,33,37,48,ARI,64,53,97,87,44,43,31,27,True
1760,1759.0,CIN,52,65,80,81,41,33,34,48,ARI,64,54,97,87,44,43,31,33,False
1783,1782.0,TEX,52,68,105,93,78,53,61,47,ARI,65,54,97,92,44,51,31,29,True
1798,1797.0,TEX,53,68,104,93,74,53,52,47,ARI,65,55,97,89,44,47,31,33,False
1817,1816.0,SDN,48,75,72,97,30,53,45,45,ARI,66,55,97,87,44,47,31,36,False
1827,1826.0,SDN,48,76,70,97,27,53,41,45,ARI,67,55,97,89,44,51,31,36,False
1842,1841.0,SDN,48,77,67,97,27,53,45,45,ARI,68,55,97,93,44,54,31,33,True
1857,1856.0,SDN,49,77,67,97,31,53,46,45,ARI,68,56,97,94,44,54,31,38,False
1878,1877.0,ARI,69,56,97,90,44,49,31,37,ANA,63,63,100,93,64,47,49,42,True
1893,1892.0,ARI,70,56,98,90,42,49,34,37,ANA,63,64,100,93,64,44,49,42,True
1917,1916.0,ARI,71,56,99,90,42,49,26,37,SEA,72,56,78,103,33,43,60,44,False
1932,1931.0,ARI,71,57,96,90,38,49,32,37,SEA,73,56,78,98,33,45,60,42,False
1948,1947.0,ARI,71,58,96,90,40,49,29,37,SEA,74,56,78,101,33,45,60,38,True
1965,1964.0,SFN,65,67,79,68,45,23,37,35,ARI,72,58,92,90,39,49,26,37,True
1975,1974.0,SFN,66,67,70,68,39,23,32,35,ARI,72,59,92,86,39,44,26,35,True
1990,1989.0,SFN,67,67,73,68,39,23,29,35,ARI,72,60,92,87,39,44,26,34,False
2001,2000.0,LAN,72,61,87,96,38,55,30,30,ARI,73,60,92,85,39,44,26,29,False
2010,2009.0,LAN,72,62,88,96,36,55,31,30,ARI,74,60,92,85,39,38,26,29,True
2025,2024.0,LAN,73,62,86,96,37,55,29,30,ARI,74,61,92,85,39,37,26,27,True
2040,2039.0,LAN,74,62,87,96,39,55,29,30,ARI,74,62,92,80,39,34,26,26,True
2054,2053.0,ARI,74,63,92,78,39,31,26,28,SDN,54,85,76,106,40,49,40,54,False
2069,2068.0,ARI,74,64,85,78,32,31,29,28,SDN,55,85,76,98,40,45,40,51,True
2098,2097.0,ARI,75,64,90,78,34,31,26,28,ATL,76,63,82,83,38,30,41,14,False
2102,2101.0,ARI,75,65,91,78,37,31,30,28,ATL,77,63,82,87,38,32,41,19,True
2116,2115.0,ARI,76,65,91,78,40,31,30,28,ATL,77,64,82,84,38,27,41,23,False
2132,2131.0,ARI,76,66,83,78,38,31,34,28,ATL,78,64,82,85,38,27,41,20,False
2147,2146.0,COL,78,64,95,86,52,45,43,38,ARI,76,67,81,78,39,31,39,28,True
2157,2156.0,COL,79,64,105,86,61,45,42,38,ARI,76,68,81,73,39,24,39,37,False
2173,2172.0,COL,79,65,99,86,59,45,41,38,ARI,77,68,81,71,39,24,39,33,True
2186,2185.0,COL,80,65,99,86,54,45,44,38,ARI,77,69,81,64,39,24,39,35,True
2206,2205.0,HOU,92,54,81,101,47,54,27,36,ARI,77,70,81,66,39,27,39,43,False
2221,2220.0,HOU,92,55,70,101,37,54,27,36,ARI,78,70,81,70,39,31,39,44,True
2236,2235.0,HOU,93,55,76,101,42,54,27,36,ARI,78,71,81,71,39,32,39,51,True
2240,2239.0,ARI,78,72,81,66,39,33,39,54,CHN,87,62,73,89,29,41,26,39,False
2252,2251.0,ARI,78,73,74,66,35,33,43,54,CHN,88,62,73,89,29,45,26,38,False
2267,2266.0,ARI,78,74,72,66,35,33,46,54,CHN,89,62,73,90,29,48,26,38,True
2289,2288.0,ARI,79,74,74,66,41,33,42,54,COL,82,70,108,58,62,20,39,38,False
2304,2303.0,ARI,79,75,74,66,38,33,48,54,COL,83,70,108,62,62,25,39,37,False
2319,2318.0,ARI,79,76,72,66,37,33,47,54,COL,84,70,108,65,62,30,39,31,False
2334,2333.0,ARI,79,77,70,66,33,33,49,54,LAN,87,69,84,96,56,54,22,38,False
2346,2345.0,ARI,79,78,64,66,31,33,50,54,LAN,88,69,84,97,56,56,22,40,True
2360,2359.0,ARI,80,78,63,66,30,33,50,54,LAN,88,70,84,101,56,57,22,40,True
2389,2388.0,SDN,64,95,76,84,39,33,37,48,ARI,81,78,68,66,34,33,48,54,True
2405,2404.0,SDN,65,95,78,84,39,33,37,48,ARI,81,79,68,70,34,32,48,54,False
2421,2420.0,SDN,65,96,74,84,36,33,42,48,ARI,82,79,68,72,34,34,48,55,True
